node_id,photo_name,description,people,demographic,age,device,location,color_palette,style_fit,activity,rights
5063:1247,plant_supply_02,Hands close-up at laptop with potted plant in foreground,hands_only,mixed,adult,"laptop, notebook",greenhouse,warm,photo_with_text,typing,
5063:1223,plant_supply_06,White man with red hair and Latino man with mustard shirt at laptop,"man_4, man_5",mixed,adult,laptop,greenhouse,green,lifestyle_photo,meeting,
5063:1221,plant_supply_04,Latino man with mustard shirt close holding phone facing camera,man_5,latino,adult,phone,greenhouse,green,testimonial,on_phone,
5063:1222,plant_supply_05,White man with red hair and Latino man with mustard shirt with laptop,"man_4, man_5",mixed,adult,laptop,greenhouse,green,lifestyle_photo,meeting,
5063:1295,plant_supply_07,White man with red hair and Asian woman with tablet greenhouse,"man_4, woman_8",mixed,adult,tablet,greenhouse,green,lifestyle_photo,meeting,
5063:1296,plant_supply_10,Hands drawing on tablet in greenhouse,hands_only,asian,adult,"tablet, notebook",greenhouse,bright,photo_with_text,drawing,
5063:1297,plant_supply_12,Hands holding phone showing Upwork on greenhouse table,hands_only,asian,adult,"phone, notebook",greenhouse,warm,photo_with_text,on_phone,
5063:1299,plant_supply_11,White man with red hair and Asian woman in greenhouse with tablet,"man_4, woman_8, man_5",mixed,adult,tablet,greenhouse,green,lifestyle_photo,meeting,
5063:1298,plant_supply_13,White man with red hair at tablet and Asian woman gesturing,"man_4, woman_8",mixed,adult,tablet,greenhouse,green,lifestyle_photo,meeting,
5063:1301,plant_supply_08,White man with red hair close-up smiling apron greenhouse,man_4,white,young_adult,none,greenhouse,green,testimonial,facing_camera,
5063:1300,plant_supply_09,Latino man with mustard shirt close-up gesturing greenhouse,man_5,latino,adult,none,greenhouse,green,testimonial,waving,
5063:1302,plant_supply_14,Asian woman close-up smiling in greenhouse,woman_8,asian,adult,none,greenhouse,green,testimonial,facing_camera,
5063:1224,space_solutions_kv,Two men at monitors in tech office one bearded standing one mature seated,"man_7, man_6",mixed,mixed,"desktop_monitor, coffee, notebook",corporate_office,dark,lifestyle_photo,meeting,
5063:1225,space_solutions_01,Mature Black man with grey hair at desk in dark office thinking,man_6,black,mature,desktop_monitor,corporate_office,dark,lifestyle_photo,thinking,
5063:1226,space_solutions_02,Mature Black man at desk being handed a tablet by another person,"man_6, hands_only",black,mature,"tablet, desktop_monitor, notebook",corporate_office,cool,lifestyle_photo,working,
5063:1248,space_solutions_05,South Asian woman at desktop monitor with glasses dark blue lit,woman_9,south_asian,young_adult,desktop_monitor,corporate_office,dark,lifestyle_photo,working,
5063:1249,space_solutions_06_r2,Hands holding phone at desk with notebook monitor and earbuds,hands_only,south_asian,young_adult,"phone, desktop_monitor, notebook, headphones",corporate_office,cool,photo_with_text,on_phone,
5063:1227,space_solutions_03,Mature Black man South Asian woman and South Asian man looking up at screen,"man_6, woman_9, man_7",mixed,mixed,desktop_monitor,corporate_office,dark,lifestyle_photo,meeting,
5063:1228,space_solutions_04,South Asian woman smiling handing papers at desk,woman_9,south_asian,young_adult,"desktop_monitor, notebook, headphones",corporate_office,dark,lifestyle_photo,facing_camera,
5063:1229,space_solutions_05b,South Asian woman close at desktop holding glasses,woman_9,south_asian,young_adult,desktop_monitor,corporate_office,dark,lifestyle_photo,thinking,
5063:1250,space_solutions_07,South Asian man and woman with mature Black man at laptop,"man_7, woman_9, man_6",mixed,mixed,"laptop, phone",corporate_office,dark,lifestyle_photo,meeting,
5063:1314,space_solutions_14,South Asian man with beard close-up testimonial portrait,man_7,south_asian,adult,none,corporate_office,cool,testimonial,facing_camera,
5063:1313,space_solutions_09,South Asian woman typing at desktop with notebook profile,woman_9,south_asian,young_adult,"desktop_monitor, notebook",corporate_office,dark,lifestyle_photo,typing,
5063:1312,space_solutions_11,South Asian woman close-up testimonial portrait smiling,woman_9,south_asian,young_adult,none,corporate_office,cool,testimonial,facing_camera,
5063:1311,space_solutions_13,Mature Black man close-up gesturing testimonial,man_6,black,mature,none,corporate_office,cool,testimonial,gesturing,
5063:1310,space_solutions_12,Hands holding tablet showing data with notebook on desk,hands_only,south_asian,young_adult,"tablet, notebook",corporate_office,cool,photo_with_text,reading,
5063:1316,space_solutions_08,South Asian man and woman at laptop standing,"man_7, woman_9",south_asian,mixed,laptop,corporate_office,dark,lifestyle_photo,meeting,
5063:1315,space_solutions_10,Mature Black man South Asian woman and man pointing tech office,"man_6, woman_9, man_7",mixed,mixed,desktop_monitor,corporate_office,dark,lifestyle_photo,meeting,
